"Persona 1","Persona 2","Tipo"
"Juan Pablo Swett","Gabriel Boric","positivo"
"Cristián Araya","Gabriel Boric","neutral"
"Chile Vamos","Gabriel Boric","neutral"
"Arturo Frei Bolívar","Eduardo Frei Montalva","negativo"
"Mario Arriagada","Gabriel Boric","neutral"
"Swett","Gabriel Boric","positivo"
"Giorgio Jackson","Matías Meza-Lopehandía","positivo"
"Sebastián Piñera","Gabriel Boric","positivo"
"Velorio","Luis Pareto","neutral"
"Delgado","Coloma","neutral"
"Michelle Bachelet","Gabriel Boric","neutral"
"Coloma","Bravo","positivo"
"Sebastián Piñera","Gabriel Boric","negativo"
"de México","Gabriel Boric","neutral"
"Frei Ruiz-Tagle","Gabriel Boric","positivo"
"Sebastián Piñera","Gabriel Boric","neutral"
"Natalia Piergentili","Gabriel Boric","neutral"
"Gabriel Boric","Apruebo Dignidad","neutral"
"Felipe Kast","Andrés Velasco","neutral"
"Karol Cariola","Gabriel Boric","neutral"
"Daniel Jadue","Natalia Piergentili","neutral"
"Daniel Jadue","Gabriel Boric","negativo"
"Diego Paulsen","Vallejo al Gobierno","neutral"
"Patricio Fernández","Gabriel Boric","neutral"
"Gabriel Boric","Frei Ruiz-Tagle","negativo"
"Emmanuel Macron","Gabriel Boric","positivo"
"Gabriel Boric","Sebastián Piñera","positivo"
"Sebastián Piñera","Gabriel Boric","positivo"
"Gabriel Boric","Sebastián Piñera","negativo"
"Sebastián Piñera","Gabriel Boric","positivo"
"José Antonio Viera-Gallo","Viera-Gallo","neutral"
"Javier Macaya  Macaya","Expresidenta Bachelet","negativo"
"Michelle Bachelet","Expresidenta Bachelet","neutral"
"Gabriel Boric  Boric","Zelensky","positivo"
"Ximena Rincón","Expresidenta Bachelet","positivo"
"Felipe Kast","Javier Milei","positivo"
"Van Klaveren","Diana Mondino","neutral"
"Gabriel Boric","Javier Milei","positivo"
"Isabel Orellana","Gabriel Boric","neutral"
"Michelle Bachelet","Expresidenta Bachelet","neutral"
"Sergio Micco  Amarillos","Sergio Micco","negativo"
"Isabel Orellana","canciller van Klaveren y Elizalde","neutral"
"Miguel Crispi","Catalina Pérez","positivo"
"Carlos Montes  Montes","Miguel Crispi","positivo"
"Sebastián Piñera","Camila Vallejo","neutral"
"Delgado","Bermúdez","negativo"
"Gabriel Boric  De","Gabriel Boric","negativo"
"Sebastián Piñera","Expresidenta Bachelet","positivo"
"Ana Lya Uriarte","Paulina Veloso","positivo"
"Pedro Barrientos","Víctor Jara","positivo"
"Gabriel Boric","Netanyahu","negativo"
"Emplazan","Miguel Crispi","positivo"
"Víctor Jara  Vallejo","Pedro Barrientos","neutral"
"Miguel Crispi","Avanzada Presidencial","positivo"
"Miguel Crispi  Declaración de exseremi","Miguel Crispi","positivo"
"Carlos Contreras","Avanzada Presidencial","positivo"
"Carlos Montes","Muñoz","neutral"
"Juan Gabriel Valdés","Kissinger","neutral"
"Felipe Kast","Camila Vallejo","neutral"
"Gabriel Boric","Matías Meza-Lopenhandía","neutral"
"Oposición  Macaya","Gabriel Boric","negativo"
"Javier Milei","Gabriel Boric","positivo"
